Global_97353.f_28281.f_6.f_3.f_1; RP_Velocity_y
Global_97353.f_28281.f_6.f_3.f_2; RP_Velocity_z
Global_97353.f_29607.f_150.f_1; Player_headingY
Global_97353.f_29607.f_150.f_2; Player_headingZ
Global_97353.f_28281.f_6.f_1; RP_Vehicle_y
Global_97353.f_28281.f_6.f_2; RP_Vehicle_z
Global_97353.f_28281.f_6.f_3; RP_Velocity_x
Global_97353.f_28281.f_6.f_6; RP_Vehicle_heading
Global_97353.f_28281.f_6.f_7; RP_Vehicle_personal
Global_97353.f_28281.f_6.f_10; RP_Vehicle_bVehGen
Global_97353.f_28281.f_6.f_8; RP_Vehicle_bInVehicle
Global_97353.f_28281.f_6.f_9; RP_Vehicle_bTrackedForImpound
Global_97353.f_28281.f_6.f_11; RP_Vehicle_character
Global_97353.f_29607.f_1; BitsetCharacterHeistUnlock
Global_97353.f_29607.f_2; BitsetCharacterSpecialUnlock
Global_97353.f_29607.f_3; BitsetCharacterAnimalUnlock
Global_97353.f_29607.f_4; BitsetTravelLocationRevealed
Global_97353.f_29607.f_5; ExitHelpShownCount
Global_97353.f_29607.f_149; BitsetshortlistSex
Global_97353.f_29607.f_150; Player_headingX
Global_97353.f_29607.f_153; Player_heading
Global_97353.f_28270.f_1; COUNTRY_RACE_iBestTime
Global_97353.f_28270.f_2; COUNTRY_RACE_iSlipStreamHelpCount
Global_97353.f_28270.f_3; COUNTRY_RACE_bStallionUnlocked
Global_97353.f_28270.f_4; COUNTRY_RACE_bGauntletUnlocked
Global_97353.f_28270.f_5; COUNTRY_RACE_bDominatorUnlocked
Global_97353.f_28270.f_6; COUNTRY_RACE_bBuffaloUnlocked
Global_97353.f_28270.f_7; COUNTRY_RACE_bMarshallUnlocked
Global_97353.f_28270.f_8; COUNTRY_RACE_bRaceJustCompleted
Global_97353.f_28270.f_9; COUNTRY_RACE_bDisrupted
Global_97353.f_28270.f_10; COUNTRY_RACE_bTextRegistered
Global_97353.f_28173.f_1; iSeaRaceWon
Global_97353.f_28173.f_2; iSeaRaceLeaveArea
Global_97353.f_28192.f_1; RE_TIME_REQ_SET
Global_97353.f_28192.f_2; RE_HELP_COUNT
Global_97353.f_28192.f_3; RE_BLIP_HELP_COUNT
Global_97353.f_28192.f_4; RE_ITEM_HELP_COUNT
Global_97353.f_28192.f_5; RE_NUMBER_OF_PEDS_DELIVERED
Global_97353.f_28192.f_6; RE_SECVANHELP
Global_97353.f_28192.f_7; RE_DRUGFARMATTACKED
Global_97353.f_28192.f_8; RE_VAR_COMPLETE
Global_97353.f_28192.f_43; RE_BLOCK_TIME
Global_97353.f_28183.f_1; Current_Mission
Global_97353.f_28183.f_2; Launcher_State
Global_97353.f_28183.f_3; Stored_Time_Stamp
Global_97353.f_28355.f_313; OWVEC_COL_M
Global_97353.f_28355.f_626; OWVEC_COL_F
Global_97353.f_28355.f_939; OWVEC_COL_T
Global_97353.f_28281.f_1; RP_PLAYER_y
Global_97353.f_28281.f_2; RP_PLAYER_z
Global_97353.f_28281.f_3; RP_PLAYER_heading
Global_97353.f_28281.f_4; RP_PLAYER_Wanted
Global_97353.f_28281.f_5; RP_PLAYER_Parachute
Global_97353.f_28281.f_6; RP_Vehicle_x
Global_97353.f_28281.f_72; Mission
Global_97353.f_28281.f_73; eRCMissionToBlock
Global_97353.f_28176.f_1; iStreetRaceUnlocked
Global_97353.f_28176.f_2; iStreetRaceWon
Global_97353.f_28176.f_3; iStreetRaceLeaveArea
Global_97353.f_28176.f_4; bPhonecallDone
Global_97353.f_28176.f_5; iSlipstreamHelpCount
Global_97353.f_28176.f_6; bSpecialAbilityHelp
Global_97353.f_18289.f_41; ShopRob_NumOfRobsSinceCopAmbush
Global_97353.f_18289.f_20; ShopRob_GenericShopData
Global_97353.f_18289.f_21; ShopRob_TimeLastRobbed_Array
Global_97353.f_18289.f_42; ShopRob_TimeLastPlayerRobbed_Array
Global_97353.f_18289.f_62; ShopRob_LastPlayerToRobShop_Array
Global_97353.f_18265.f_4; TRI_TIMES
Global_97353.f_18265.f_8; TRIATHLON_eCurrentUnlock
Global_97353.f_18265.f_9; TRIATHLON_iBitFlags
Global_97353.f_17233.f_29; GOLF_iNumRoundsWithCharacter_
Global_97353.f_17233.f_22; GOLF_iNumHolesPlayed
Global_97353.f_17233.f_20; GOLF_iNumPuttsTotal
Global_97353.f_17233.f_21; GOLF_iNumFairwayDrivesTotal
Global_97353.f_17233.f_23; GOLF_eUnlockedBuddies
Global_97353.f_17233.f_24; GOLF_eGolfSavedFlags
Global_97353.f_17233.f_28; GOLF_iBestRound
Global_97353.f_17233.f_25; GOLF_iNumRoundsPlayedSP
Global_97353.f_17233.f_26; GOLF_iNumRoundsPlayedMP
Global_97353.f_17233.f_27; GOLF_iNumGolfWins
Global_97353.f_17233.f_33; GOLF_fLongestDrive
Global_97353.f_17233.f_34; GOLF_fLongestPutt
Global_97353.f_17233.f_35; GOLF_fAveragePutts
Global_97353.f_17233.f_36; GOLF_fAverageFairwayDrives
Global_97353.f_17270.f_1; OFFROAD_eCurrentRace
Global_97353.f_17270.f_10; OFFROAD_TIMES
Global_97353.f_17270.f_2; OFFROAD_RANKS
Global_97353.f_17270.f_18; OFFROAD_iRacePlaceEarned
Global_97353.f_18215.f_1; SHRINK_iByte1
Global_97353.f_17351.f_1; TAXI_MISSION_ARRAY
Global_97353.f_17351.f_22; TAXI_STAT_ARRAY
Global_97353.f_17351.f_39; TAXI_RUNS_ARRAY
Global_97353.f_18237.f_1; TRAFFICKING_iGndRank
Global_97353.f_18237.f_2; TRAFFICKING_SAVED_iAirRank
Global_97353.f_18237.f_3; TRAFFICKING_iLastPairing
Global_97353.f_18237.f_4; TRAFFICKING_iNumRepeatComplete
Global_97353.f_18237.f_5; TRAFFICKING_TIME_COLLECTED_ARRAY
Global_97353.f_18237.f_11; TRAFFICKING_todNextAir
Global_97353.f_18237.f_12; TRAFFICKING_todNextGnd
Global_97353.f_18237.f_13; TRAFFICKING_GndBlipOn
Global_97353.f_18237.f_14; TRAFFICKING_AirBlipOn
Global_97353.f_18237.f_15; TRAFFICKING_RanIntro
Global_97353.f_18237.f_16; TRAFFICKING_bBomb
Global_97353.f_18237.f_17; TRAFFICKING_bTrain
Global_97353.f_18237.f_18; TRAFFICKING_bConvoy
Global_97353.f_18237.f_19; TRAFFICKING_bTimed
Global_97353.f_18237.f_20; TRAFFICKING_bLowAlt
Global_97353.f_18237.f_26; TRAFFICKING_iNumDropLocations
Global_97353.f_18237.f_27; TRAFFICKING_gangTypes
Global_97353.f_17224.f_1; DARTS_iNumOneEighties
Global_97353.f_17224.f_2; DARTS_iDartGamesWon
Global_97353.f_17224.f_3; DARTS_iDartGamesLoss
Global_97353.f_17224.f_4; DARTS_iDartsThrown
Global_97353.f_17224.f_5; DARTS_iTotalDartGames
Global_97353.f_17224.f_6; DARTS_iDartTimePlayed
Global_97353.f_17224.f_7; DARTS_fWinPct
Global_97353.f_17224.f_8; DARTS_fAvgDartsPerMatch
Global_97353.f_17221.f_1; BJ_iCompletedFlags
Global_97353.f_17221.f_2; BJ_fLongestSkydive
Global_97353.f_18217.f_1; ASSASSIN_iGenData
Global_97353.f_18217.f_2; ASSASSIN_iBools
Global_97353.f_18217.f_3; ASSASSIN_iAttemptsOnCur
Global_97353.f_18217.f_4; ASSASSIN_TOD_iTime
Global_97353.f_18217.f_5; ASSASSIN_HotelMissionTime
Global_97353.f_18217.f_6; ASSASSIN_MultiMissionTime
Global_97353.f_18217.f_7; ASSASSIN_ViceMissionTime
Global_97353.f_18217.f_8; ASSASSIN_BusMissionTime
Global_97353.f_18217.f_9; ASSASSIN_ConstructionMissionTime
Global_97353.f_18227.f_1; TOWING_iBools
Global_97353.f_18227.f_2; TOWING_eLastNode
Global_97353.f_18227.f_3; TOWING_iJobsCompleted
Global_97353.f_18227.f_4; TOWING_iAbandonCompleted
Global_97353.f_18227.f_5; TOWING_iTrainCompleted
Global_97353.f_18227.f_6; TOWING_iHandiCompleted
Global_97353.f_18227.f_7; TOWING_iBreakDownCompleted
Global_97353.f_18227.f_9; TOWING_iLastNodeIndex
Global_97353.f_18227.f_8; TOWING_iAccidentCompleted
Global_97353.f_12305.f_81; Focus_Lock_Help_Been_Displayed
Global_97353.f_12305.f_82; Sleep_Warning_Been_Displayed
Global_97353.f_12305.f_83; SleepIcon_Help_Been_Displayed
Global_97353.f_12305.f_84; Sleep_Reminder_Been_Displayed
Global_97353.f_12305.f_85; QuickSave_Help_Been_Displayed
Global_97353.f_12305.f_86; TranslucentIcon_Help_Been_Displayed
Global_97353.f_12305.f_87; MPTranslucentIcon_Help_Been_Displayed
Global_97353.f_12305.f_88; Is_Sniper_App_Available
Global_97353.f_12305.f_89; Is_Trackify_App_Available
Global_97353.f_23635.f_145; iFlowHelpCount
Global_97353.f_23635.f_146; FLOW_HELP_PRIORITY_ARRAY
Global_97353.f_23635.f_150; HELP_DISPLAYED_BITSET_ARRAY
Global_97353.f_6869.f_236; CODE_CONTROL_EXECUTE_TIMER_ARRAY
Global_97353.f_5944.f_136; No_Queued_Calls
Global_97353.f_5944.f_137; COMM_CONTROL_MISSED_CALLS_ARRAY
Global_97353.f_5944.f_198; No_Missed_Calls
Global_97353.f_5944.f_199; COMM_CONTROL_CHAT_CALLS_ARRAY
Global_97353.f_5944.f_650; No_Chat_Calls
Global_97353.f_5944.f_651; COMM_CONTROL_QUEUED_TEXTS_ARRAY
Global_97353.f_5944.f_764; No_Queued_Texts
Global_97353.f_5944.f_867; COMM_CONTROL_SENT_TEXTS_ARRAY
Global_97353.f_5944.f_910; No_Sent_Texts
Global_97353.f_5944.f_765; COMM_CONTROL_QUEUED_EMAILS_ARRAY
Global_97353.f_5944.f_866; No_Queued_Emails
Global_97353.f_5944.f_911; Last_Completed_Call
Global_97353.f_5944.f_912; Last_Call_Answered
Global_97353.f_5944.f_913; Last_Call_Had_Response
Global_97353.f_5944.f_914; Last_Call_Response
Global_97353.f_5944.f_915; Last_Completed_Text
Global_97353.f_5944.f_916; Last_Text_Had_Response
Global_97353.f_5944.f_917; Last_Text_Response
Global_97353.f_5944.f_918; Last_Completed_Email
Global_97353.f_5944.f_919; COMM_CONTROL_CHAR_PRIORITY_ARRAY
Global_97353.f_5944.f_923; Exile_Warning_Bitset
Global_97353.f_5944.f_924; Comms_Game_time
Global_97353.f_16828.f_379; RC_EVENTS
Global_97353.f_16828.f_380; iRCMissionsCompleted
Global_97353.f_16828.f_381; g_iCurrentEpsilonPayment
Global_97353.f_16828.f_382; g_iWebsiteQueryBit
Global_97353.f_16828.f_383; g_iREDomesticCompOrder
Global_97353.f_16828.f_384; g_bFanaticHelp
Global_97353.f_16828.f_385; g_bFanaticStamina
Global_97353.f_16828.f_386; g_bFanaticCheated
Global_97353.f_16828.f_387; g_bFinalEpsilonPayment
Global_97353.f_16828.f_388; g_bStoleEpsilonCash
Global_97353.f_16828.f_389; g_bTriggeredHao1
Global_97353.f_1729.f_539; PP_INFO_STRUCT
Global_97353.f_1729.f_3755; FRANKLIN_ORIGINAL_OUTFIT_ID
Global_97353.f_1729.f_3756; OVERRIDE_PED
Global_97353.f_8303.f_1; PROSTITUTE_SAVED_DATA
Global_97353.f_8303.f_90; PROSTITUTE_SERVICES_ARRAY
Global_97353.f_8303.f_94; CHOP_HINTS_DISPLAYED
Global_97353.f_8303.f_95; WARDROBE_HINTS_DISPLAYED
Global_97353.f_8303.f_96; BRIDGES_FLOWN_UNDER_FLAGS
Global_97353.f_8303.f_97; BRIDGES_FLOWN_UNDER_FLAGS_2
Global_97353.f_8303.f_98; BRIDGES_FLOWN_UNDER_FLAGS_3
Global_97353.f_8303.f_99; WILDLIFE_PHOTOGRAPHY_FLAGS
Global_97353.f_8303.f_100; CHASE_HELP_TEXT_DISPLAYED_MI
Global_97353.f_8303.f_101; CHASE_HELP_TEXT_DISPLAYED_RC
Global_97353.f_8303.f_102; CHASE_HELP_TEXT_DISPLAYED_RE
Global_97353.f_8303.f_103; EPSCAR_STAGE
Global_97353.f_8303.f_104; EPSCAR_LAST_EMAIL
Global_97353.f_8303.f_105; EPSROBES_ROBES_TIME
Global_97353.f_8303.f_106; EPSROBES_ROBES_DELIVERY_TIME
Global_97353.f_8303.f_107; EPSDESERT_DISTANCE_RUN
Global_97353.f_8303.f_108; FOR_SALE_SIGN_DESTROYED_FLAGS
